カテゴリ,サブカテゴリ,問題番号,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解
1. 人工知能とは,1.2 人工知能分野で活躍する技術,11,「自然言語処理（NLP）」の主な目的は何か？,人間の自然な言語をコンピュータが理解・生成できるようにすること,プログラミング言語を最適化すること,音声認識の精度を向上させること,画像内のテキストを認識すること,A
1. 人工知能とは,1.2 人工知能分野で活躍する技術,12,「コンピュータビジョン」が主に取り組む課題はどれか？,仮想現実（VR）環境の構築,画像や動画からの情報抽出と理解,コンピュータグラフィックスの生成,ディスプレイ技術の改善,B
1. 人工知能とは,1.2 人工知能分野で活躍する技術,13,「強化学習」の基本的な考え方として最も適切なものはどれか？,教師データを用いて正解を学習する,教師なしでデータのパターンを見つける,行動に対する報酬と罰に基づいて最適な行動を学習する,人間の脳の構造を模倣して学習する,C
1. 人工知能とは,1.2 人工知能分野で活躍する技術,14,「遺伝的アルゴリズム」の基本原理として正しいものはどれか？,人間の遺伝子構造を解析する,生物の進化過程を模倣した最適化アルゴリズム,DNAの構造を人工的に合成する,遺伝子治療のためのアルゴリズム,B
1. 人工知能とは,1.2 人工知能分野で活躍する技術,15,「ファジィ論理」の特徴として最も適切なものはどれか？,真（1）か偽（0）の二値論理のみを扱う,確率論に基づいた意思決定を行う,真と偽の間の曖昧さを扱うことができる多値論理,量子力学の原理に基づいた論理体系,C
2. 人工知能をめぐる動向,2.1 第一次AIブーム,16,第一次AIブームの主な研究対象として最も適切なものはどれか？,ニューラルネットワーク,遺伝的アルゴリズム,探索・推論などの記号処理,深層学習,C
2. 人工知能をめぐる動向,2.1 第一次AIブーム,17,第一次AIブームで開発された代表的なプログラムはどれか？,MYCIN,General Problem Solver,AlphaGo,Watson,B
2. 人工知能をめぐる動向,2.1 第一次AIブーム,18,第一次AIブームが終焉した主な理由として最も適切なものはどれか？,コンピュータのハードウェア性能の限界,複雑な問題に対応できない単純な探索・推論の限界,インターネットの普及による情報過多,研究資金の枯渇,B
2. 人工知能をめぐる動向,2.1 第一次AIブーム,19,第一次AIブームにおける「パーセプトロン」に関する記述として正しいものはどれか？,現在のディープラーニングの直接の先駆けとなった,当時は注目されたが、XORなどの線形分離不可能な問題を解決できないことが指摘された,エキスパートシステムの一種として開発された,自然言語処理に特化したシステムだった,B
2. 人工知能をめぐる動向,2.2 第二次AIブーム,20,第二次AIブームが起きた時期として最も適切なものはどれか？,1950年代後半～1960年代,1970年代後半～1980年代,1990年代後半～2000年代,2010年代～現在,B
2. 人工知能をめぐる動向,2.2 第二次AIブーム,21,第二次AIブームの中心的な技術として最も適切なものはどれか？,ディープラーニング,エキスパートシステム,強化学習,遺伝的アルゴリズム,B
2. 人工知能をめぐる動向,2.2 第二次AIブーム,22,エキスパートシステムの特徴として最も適切でないものはどれか？,専門家の知識をルールベースで表現する,大量のデータから自動的に学習する,if-thenルールを用いた推論を行う,特定の専門領域に特化している,B
2. 人工知能をめぐる動向,2.2 第二次AIブーム,23,第二次AIブームで開発された医療診断システムとして知られるものはどれか？,ELIZA,MYCIN,DENDRAL,AlphaFold,B
2. 人工知能をめぐる動向,2.2 第二次AIブーム,24,第二次AIブームが終焉した主な理由として最も適切なものはどれか？,ルールの記述・保守の困難さと適用範囲の狭さ,コンピュータのハードウェア性能の限界,インターネットの普及による情報過多,研究資金の枯渇,A
2. 人工知能をめぐる動向,2.3 第三次AIブーム,25,第三次AIブームが始まった時期として最も適切なものはどれか？,1980年代後半,1990年代後半,2000年代後半,2010年代～現在,D
2. 人工知能をめぐる動向,2.3 第三次AIブーム,26,第三次AIブームの主な特徴として最も適切でないものはどれか？,ビッグデータの活用,ディープラーニングの発展,ルールベースの知識表現,クラウドコンピューティングの普及,C
2. 人工知能をめぐる動向,2.3 第三次AIブーム,27,第三次AIブームの契機となった2012年のイベントとして知られるものはどれか？,IBMのWatsonがクイズ番組「Jeopardy!」で人間のチャンピオンに勝利,AlexNetが画像認識コンテスト「ILSVRC」で圧倒的な成績を収める,AlphaGoが世界チャンピオンの李世ドルに勝利,Facebookが顔認識技術を導入,B
2. 人工知能をめぐる動向,2.3 第三次AIブーム,28,第三次AIブームにおける「基盤モデル」の特徴として最も適切なものはどれか？,特定のタスクに特化した小規模なモデル,大規模なデータで事前学習され、様々なタスクに転用可能なモデル,ルールベースで構築された知識モデル,ハードウェアに依存しない軽量なモデル,B
2. 人工知能をめぐる動向,2.3 第三次AIブーム,29,生成AIの代表的な技術として最も適切でないものはどれか？,大規模言語モデル（LLM）,Diffusion Model,Generative Adversarial Network (GAN),Random Forest,D
2. 人工知能をめぐる動向,2.4 知識表現とエキスパートシステム,30,知識表現の手法として最も適切でないものはどれか？,セマンティックネットワーク,フレーム,オントロジー,勾配降下法,D
2. 人工知能をめぐる動向,2.4 知識表現とエキスパートシステム,31,エキスパートシステムの構成要素として含まれないものはどれか？,知識ベース,推論エンジン,ユーザーインターフェース,畳み込み層,D
2. 人工知能をめぐる動向,2.4 知識表現とエキスパートシステム,32,「CYC プロジェクト」の目的として最も適切なものはどれか？,人間の常識をコンピュータに実装する大規模知識ベースの構築,画像認識のための大規模データセットの作成,自然言語処理のための新しいアルゴリズムの開発,量子コンピュータ向けAIシステムの開発,A
2. 人工知能をめぐる動向,2.4 知識表現とエキスパートシステム,33,「DENDRAL」が対象としていた専門分野はどれか？,医療診断,分子構造の同定,地質学的分析,法律相談,B
2. 人工知能をめぐる動向,2.4 知識表現とエキスパートシステム,34,「Question-Answering」システムの特徴として最も適切なものはどれか？,質問に対して関連する回答を提供するシステム,画像から物体を検出するシステム,音声を文字に変換するシステム,文書を自動的に要約するシステム,A
2. 人工知能をめぐる動向,2.5 機械学習,35,機械学習の定義として最も適切なものはどれか？,コンピュータがプログラムされた通りに動作する技術,データから規則やパターンを学習し、予測や判断を行う技術,人間の脳の構造を完全に模倣した技術,ルールベースで知識を表現する技術,B
2. 人工知能をめぐる動向,2.5 機械学習,36,機械学習の主要なアプローチとして含まれないものはどれか？,教師あり学習,教師なし学習,強化学習,記号論理学,D
2. 人工知能をめぐる動向,2.5 機械学習,37,機械学習における「汎化」の意味として最も適切なものはどれか？,アルゴリズムの実行速度を向上させること,学習データ以外の未知のデータに対しても適切に対応できる能力,モデルのパラメータ数を増やすこと,データの前処理を行うこと,B
2. 人工知能をめぐる動向,2.5 機械学習,38,機械学習における「過学習」の意味として最も適切なものはどれか？,モデルが学習データに過度に適合し、汎化性能が低下する現象,学習に非常に長い時間がかかる現象,モデルが学習データを完全に無視する現象,学習データが多すぎて処理できない現象,A
2. 人工知能をめぐる動向,2.5 機械学習,39,機械学習の代表的なアルゴリズムとして含まれないものはどれか？,サポートベクターマシン,ランダムフォレスト,k-means,エキスパートシステム,D
2. 人工知能をめぐる動向,2.6 ディープラーニング,40,"人工知能をめぐる動向

## 2.1 第一次AIブーム

1. 第一次AIブームが起きた時期として最も適切なものはどれか？",1940年代後半,1950年代後半～1960年代,1970年代後半～1980年代,1990年代後半～2000年代,B
2. 人工知能をめぐる動向,2.6 ディープラーニング,41,ディープラーニングの特徴として最も適切でないものはどれか？,多層のニューラルネットワークを用いる,特徴量を自動的に学習できる,大量のデータと計算リソースを必要とする,ルールベースの知識表現を用いる,D
2. 人工知能をめぐる動向,2.6 ディープラーニング,42,ディープラーニングが従来の機械学習と比較して優れている点として最も適切なものはどれか？,少量のデータでも高い性能を発揮できる,解釈可能性が高い,特徴量の手動設計が不要で、生データから直接学習できる,計算リソースをあまり必要としない,C
2. 人工知能をめぐる動向,2.6 ディープラーニング,43,ディープラーニングの主要なアーキテクチャとして含まれないものはどれか？,畳み込みニューラルネットワーク（CNN）,リカレントニューラルネットワーク（RNN）,トランスフォーマー,決定木,D
2. 人工知能をめぐる動向,2.6 ディープラーニング,44,ImageNetとは何か？,画像生成のためのディープラーニングモデル,画像認識のための大規模な画像データセット,画像処理のためのプログラミング言語,画像圧縮のためのアルゴリズム,B
2. 人工知能をめぐる動向,2.6 ディープラーニング,45,LLM（大規模言語モデル）の特徴として最も適切でないものはどれか？,大量のテキストデータで事前学習されている,文脈を理解して自然な文章を生成できる,少量のデータで効率的に学習できる,Transformerアーキテクチャを基盤としていることが多い,C
3. 機械学習の概要,3.1 教師あり学習,46,教師あり学習の代表的なタスクとして含まれないものはどれか？,分類,回帰,クラスタリング,異常検知,C
3. 機械学習の概要,3.1 教師あり学習,47,線形回帰モデルの目的関数として一般的に用いられるものはどれか？,クロスエントロピー誤差,平均二乗誤差（MSE）,シルエットスコア,報酬の期待値,B
3. 機械学習の概要,3.1 教師あり学習,48,ロジスティック回帰の特徴として最も適切なものはどれか？,連続値の予測に用いられる,教師なし学習の一種である,二値分類問題に用いられる,ディープラーニングの一種である,C
3. 機械学習の概要,3.1 教師あり学習,49,サポートベクターマシン（SVM）の基本的な考え方として最も適切なものはどれか？,クラス間のマージンを最大化する決定境界を見つける,確率分布を推定してデータを分類する,類似したデータ点をグループ化する,ニューロンの階層的ネットワークを構築する,A
3. 機械学習の概要,3.1 教師あり学習,50,k近傍法（k-NN）のアルゴリズムとして正しいものはどれか？,データを階層的にクラスタリングする,最も近いk個のデータ点の多数決で分類する,決定木をk個組み合わせて予測する,k個の特徴量を選択して分類する,B
3. 機械学習の概要,3.1 教師あり学習,51,決定木の特徴として最も適切でないものはどれか？,解釈可能性が高い,非線形の関係性を捉えることができる,過学習しにくい,特徴量の重要度を評価できる,C
3. 機械学習の概要,3.1 教師あり学習,52,ランダムフォレストの特徴として最も適切なものはどれか？,単一の決定木を最適化する,複数の決定木の予測を集約する,線形モデルのアンサンブル手法である,教師なし学習の一種である,B
3. 機械学習の概要,3.1 教師あり学習,53,AdaBoostの基本的な考え方として最も適切なものはどれか？,誤分類されたデータに重みを置いて逐次的に弱学習器を学習する,ランダムにデータをサンプリングして複数のモデルを学習する,特徴量をランダムに選択して決定木を構築する,ニューラルネットワークの層を徐々に深くしていく,A
3. 機械学習の概要,3.1 教師あり学習,54,勾配ブースティング法の特徴として最も適切なものはどれか？,前のモデルの誤差を次のモデルが予測するよう逐次的に学習する,すべてのモデルを並列に学習する,単一の深いニューラルネットワークを学習する,クラスタリングを行ってからモデルを構築する,A
3. 機械学習の概要,3.2 教師なし学習,55,教師なし学習の定義として最も適切なものはどれか？,入力データと正解ラベルのペアを用いて学習するアルゴリズム,入力データのみを用いてパターンや構造を発見するアルゴリズム,環境との相互作用から報酬を最大化するよう学習するアルゴリズム,人間の指示に従って学習するアルゴリズム,B
3. 機械学習の概要,3.2 教師なし学習,56,教師なし学習の代表的なタスクとして含まれないものはどれか？,クラスタリング,次元削減,異常検知,分類,D
3. 機械学習の概要,3.2 教師なし学習,57,k-means法の目的関数として一般的に用いられるものはどれか？,クロスエントロピー誤差,平均二乗誤差（MSE）,クラスタ内の二乗距離の総和,シルエットスコア,C
3. 機械学習の概要,3.2 教師なし学習,58,階層的クラスタリングの特徴として最も適切でないものはどれか？,クラスタ数を事前に指定する必要がある,ボトムアップ（凝集型）とトップダウン（分割型）のアプローチがある,デンドログラムを用いて結果を可視化できる,クラスタ間の距離の定義方法によって結果が変わる,A
3. 機械学習の概要,3.2 教師なし学習,59,主成分分析（PCA）の目的として最も適切なものはどれか？,データの分類を行う,データの次元を削減しながら分散を最大限保持する,データのクラスタリングを行う,データの異常を検出する,B
3. 機械学習の概要,3.2 教師なし学習,60,t-SNEの特徴として最も適切なものはどれか？,線形の次元削減手法である,高次元データの局所的構造を保持しながら低次元に埋め込む,教師あり学習の一種である,計算コストが非常に低い,B
3. 機械学習の概要,3.2 教師なし学習,61,オートエンコーダの基本的な構造として最も適切なものはどれか？,入力を圧縮して再構成する符号化器と復号化器からなるネットワーク,複数の決定木を組み合わせたアンサンブルモデル,再帰的な構造を持つニューラルネットワーク,確率的なグラフィカルモデル,A
3. 機械学習の概要,3.2 教師なし学習,62,異常検知の手法として含まれないものはどれか？,One-Class SVM,Isolation Forest,Local Outlier Factor,ロジスティック回帰,D
3. 機械学習の概要,3.2 教師なし学習,63,VAE（Variational Autoencoder）の特徴として最も適切なものはどれか？,確率的な潜在変数を用いた生成モデルである,敵対的な二つのネットワークで構成される,時系列データの予測に特化している,教師あり学習の一種である,A
3. 機械学習の概要,3.2 教師なし学習,64,自己組織化マップ（SOM）の特徴として最も適切なものはどれか？,高次元データを低次元格子に写像する教師なし学習アルゴリズム,深層強化学習の一種,画像生成に特化したモデル,自然言語処理のための言語モデル,A
3. 機械学習の概要,3.3 強化学習,65,強化学習の定義として最も適切なものはどれか？,入力データと正解ラベルのペアを用いて学習するアルゴリズム,入力データのみを用いてパターンを発見するアルゴリズム,環境との相互作用から得られる報酬を最大化するよう学習するアルゴリズム,人間の脳の構造を模倣して学習するアルゴリズム,C
3. 機械学習の概要,3.3 強化学習,66,強化学習の基本的な要素として含まれないものはどれか？,エージェント,環境,報酬,教師データ,D
3. 機械学習の概要,3.3 強化学習,67,強化学習における「方策（ポリシー）」とは何か？,環境の状態遷移を表す関数,エージェントが各状態でとるべき行動を決定する戦略,報酬の割引率を決定する関数,学習率を調整するスケジューリング方法,B
3. 機械学習の概要,3.3 強化学習,68,Q学習の特徴として最も適切なものはどれか？,方策オン型の強化学習アルゴリズム,方策オフ型の強化学習アルゴリズム,教師あり学習の一種,モデルベースの強化学習アルゴリズム,B
3. 機械学習の概要,3.3 強化学習,69,強化学習における「探索と活用のトレードオフ」とは何か？,計算リソースと精度のバランス,新しい行動を試す（探索）か、既知の最良の行動を選ぶ（活用）かのバランス,オンライン学習とバッチ学習のバランス,モデルの複雑さと解釈可能性のバランス,B
3. 機械学習の概要,3.3 強化学習,70,深層強化学習（Deep Reinforcement Learning）の特徴として最も適切なものはどれか？,深層ニューラルネットワークを用いて強化学習の関数を近似する,深い決定木を用いて強化学習を行う,深層生成モデルを用いて環境をシミュレーションする,深層クラスタリングを用いて状態空間を分割する,A
3. 機械学習の概要,3.3 強化学習,71,「Actor-Critic」アルゴリズムの特徴として最も適切なものはどれか？,方策（Actor）と価値関数（Critic）の両方を学習する,単一のネットワークで方策のみを学習する,環境のモデルを明示的に学習する,教師あり学習と強化学習を組み合わせたハイブリッドアルゴリズム,A
3. 機械学習の概要,3.3 強化学習,72,「REINFORCE」アルゴリズムの特徴として最も適切なものはどれか？,方策勾配法の一種である,Q学習の拡張である,モデルベースの強化学習アルゴリズムである,教師あり学習と強化学習を組み合わせたハイブリッドアルゴリズム,A
3. 機械学習の概要,3.3 強化学習,73,「マルチエージェント強化学習」の特徴として最も適切なものはどれか？,複数のエージェントが同時に学習・行動する環境での強化学習,単一エージェントが複数のタスクを学習する強化学習,複数のCPUを用いて並列計算を行う強化学習,複数の報酬関数を同時に最適化する強化学習,A
3. 機械学習の概要,3.3 強化学習,74,「逆強化学習」の目的として最も適切なものはどれか？,エージェントの行動から報酬関数を推定する,強化学習の逆問題を解く,負の報酬を最大化する,教師あり学習の代わりに強化学習を用いる,A
3. 機械学習の概要,3.4 モデルの選択・評価,75,"機械学習の概要

## 3.1 教師あり学習

1. 教師あり学習の定義として最も適切なものはどれか？",入力データと正解ラベルのペアを用いて学習するアルゴリズム,入力データのみを用いてパターンを発見するアルゴリズム,環境との相互作用から報酬を最大化するよう学習するアルゴリズム,人間の指示なしに自律的に学習するアルゴリズム,A
3. 機械学習の概要,3.4 モデルの選択・評価,76,機械学習における「バイアス・バリアンストレードオフ」の説明として最も適切なものはどれか？,学習時間と予測精度のトレードオフ,モデルの複雑さと解釈可能性のトレードオフ,モデルの単純さ（高バイアス）と複雑さ（高バリアンス）のトレードオフ,訓練データと検証データの比率のトレードオフ,C
3. 機械学習の概要,3.4 モデルの選択・評価,77,「交差検証（クロスバリデーション）」の目的として最も適切なものはどれか？,モデルの学習を高速化する,モデルの汎化性能を評価する,モデルのパラメータを最適化する,モデルの解釈可能性を向上させる,B
3. 機械学習の概要,3.4 モデルの選択・評価,78,k分割交差検証（k-fold cross validation）の手順として正しいものはどれか？,データをk個のグループに分け、各グループを1回ずつテストデータとして使用し、残りを訓練データとして使用する,k個のモデルを並列に学習し、その平均を最終モデルとする,データからランダムにk個のサンプルを選び、それらだけでモデルを評価する,k個の特徴量を選択してモデルを構築する,A
3. 機械学習の概要,3.4 モデルの選択・評価,79,「ホールドアウト法」の説明として最も適切なものはどれか？,データを訓練セットとテストセットに分割し、訓練セットでモデルを学習し、テストセットで評価する,一部のデータを意図的に欠損させてモデルの頑健性を評価する,特定の特徴量を除外してモデルの性能変化を測定する,モデルの一部のパラメータを固定して学習する,A
3. 機械学習の概要,3.4 モデルの選択・評価,80,分類問題の評価指標として含まれないものはどれか？,精度（Accuracy）,適合率（Precision）,再現率（Recall）,平均二乗誤差（MSE）,D
3. 機械学習の概要,3.4 モデルの選択・評価,81,ROC曲線の説明として最も適切なものはどれか？,真陽性率と偽陽性率の関係を示すグラフ,学習曲線を表すグラフ,予測値と実測値の散布図,モデルの計算時間と精度の関係を示すグラフ,A
3. 機械学習の概要,3.4 モデルの選択・評価,82,AUC（Area Under the Curve）の説明として最も適切なものはどれか？,学習曲線の下の面積,ROC曲線の下の面積,予測値の分布の面積,特徴量の重要度を表す面積,B
3. 機械学習の概要,3.4 モデルの選択・評価,83,回帰問題の評価指標として含まれないものはどれか？,平均二乗誤差（MSE）,平均絶対誤差（MAE）,決定係数（R²）,F1スコア,D
3. 機械学習の概要,3.4 モデルの選択・評価,84,「グリッドサーチ」の目的として最も適切なものはどれか？,特徴量の重要度を評価する,ハイパーパラメータの最適な組み合わせを探索する,モデルの学習を高速化する,データの前処理を自動化する,B
3. 機械学習の概要,3.4 モデルの選択・評価,85,「アンサンブル学習」の基本的な考え方として最も適切なものはどれか？,単一の複雑なモデルを学習する,複数の単純なモデルを組み合わせて性能を向上させる,データを分割して並列に学習する,モデルのパラメータを徐々に更新する,B
4. ディープラーニングの概要,4.1 ニューラルネットワークとディープラーニング,86,ニューラルネットワークの基本構成要素として最も適切なものはどれか？,ノード、エッジ、活性化関数,クラスタ、セントロイド、距離関数,状態、行動、報酬,特徴量、ラベル、損失関数,A
4. ディープラーニングの概要,4.1 ニューラルネットワークとディープラーニング,87,ディープラーニングが従来のニューラルネットワークと比較して優れている点として最も適切なものはどれか？,少量のデータでも高い性能を発揮できる,解釈可能性が高い,複雑な特徴を階層的に学習できる,計算リソースをあまり必要としない,C
4. ディープラーニングの概要,4.1 ニューラルネットワークとディープラーニング,88,ディープラーニングの発展に大きく貢献した要因として含まれないものはどれか？,大量のデータの利用可能性,GPU等の計算能力の向上,効果的な学習アルゴリズムの開発,エキスパートシステムの普及,D
4. ディープラーニングの概要,4.1 ニューラルネットワークとディープラーニング,89,ディープラーニングの課題として最も適切でないものはどれか？,大量の学習データが必要,計算コストが高い,解釈可能性が低い,実装が非常に困難,D
4. ディープラーニングの概要,4.10 ドロップアウト,90,"ディープラーニングの概要

## 4.1 ニューラルネットワークとディープラーニング

1. ディープラーニングの定義として最も適切なものはどれか？",単層のニューラルネットワークを用いた機械学習手法,多層のニューラルネットワークを用いた機械学習手法,ルールベースの知識表現を用いた人工知能技術,決定木を多数組み合わせた機械学習手法,B
4. ディープラーニングの概要,4.10 ドロップアウト,91,ドロップアウトの主な目的として最も適切なものはどれか？,学習速度の向上,過学習の防止,勾配消失問題の解決,モデルサイズの削減,B
4. ディープラーニングの概要,4.10 ドロップアウト,92,ドロップアウトの仕組みとして最も適切なものはどれか？,訓練時にランダムにニューロンを無効化する,訓練時にランダムに重みを0にする,訓練時にランダムに層全体をスキップする,訓練時にランダムに入力データを削除する,A
4. ディープラーニングの概要,4.10 ドロップアウト,93,ドロップアウトを適用する際の推論（予測）時の処理として最も適切なものはどれか？,訓練時と同様にランダムにニューロンを無効化する,すべてのニューロンを有効にし、重みをドロップアウト率で調整する,ドロップアウトを適用した層を完全に無視する,ランダムに選んだ一部のニューロンのみを使用する,B
4. ディープラーニングの概要,4.10 ドロップアウト,94,ドロップアウトの効果として最も適切でないものはどれか？,アンサンブル学習に似た効果がある,共適応（co-adaptation）を防ぐ,モデルの汎化性能を向上させる,学習速度を大幅に向上させる,D
4. ディープラーニングの概要,4.10 ドロップアウト,95,ドロップアウトが特に効果的なケースとして最も適切なものはどれか？,訓練データが非常に少ない場合,パラメータ数が少ないシンプルなモデルの場合,パラメータ数が多い大規模なモデルの場合,時系列データを扱う場合,C
4. ディープラーニングの概要,4.2 活性化関数,96,活性化関数の役割として最も適切なものはどれか？,モデルの学習率を調整する,ニューラルネットワークに非線形性を導入する,過学習を防止する,入力データを正規化する,B
4. ディープラーニングの概要,4.2 活性化関数,97,シグモイド関数の出力範囲として正しいものはどれか？,0から1,-1から1,0から無限大,マイナス無限大からプラス無限大,A
4. ディープラーニングの概要,4.2 活性化関数,98,tanh関数の出力範囲として正しいものはどれか？,0から1,-1から1,0から無限大,マイナス無限大からプラス無限大,B
4. ディープラーニングの概要,4.2 活性化関数,99,ReLU関数の定義として正しいものはどれか？,"f(x) = max(0, x)",f(x) = 1 / (1 + e^(-x)),f(x) = (e^x - e^(-x)) / (e^x + e^(-x)),f(x) = x,A
4. ディープラーニングの概要,4.2 活性化関数,100,「勾配消失問題」への対策として有効な活性化関数はどれか？,シグモイド関数,tanh関数,ReLU関数,線形関数,C
4. ディープラーニングの概要,4.3 誤差関数,101,誤差関数（損失関数）の役割として最も適切なものはどれか？,モデルの予測と実際の値との差を定量化する,モデルのパラメータを初期化する,モデルの学習率を調整する,モデルの入力データを正規化する,A
4. ディープラーニングの概要,4.3 誤差関数,102,二値分類問題で一般的に用いられる誤差関数はどれか？,平均二乗誤差（MSE）,平均絶対誤差（MAE）,クロスエントロピー誤差,ヒンジ損失,C
4. ディープラーニングの概要,4.3 誤差関数,103,回帰問題で一般的に用いられる誤差関数はどれか？,クロスエントロピー誤差,平均二乗誤差（MSE）,カルバック・ライブラー情報量（KL）,ヒンジ損失,B
4. ディープラーニングの概要,4.3 誤差関数,104,Contrastive Lossの主な用途として最も適切なものはどれか？,画像分類,自然言語処理,類似度学習・表現学習,時系列予測,C
4. ディープラーニングの概要,4.3 誤差関数,105,カルバック・ライブラー情報量（KL）の主な用途として最も適切なものはどれか？,二つの確率分布の差異を測定する,画像のピクセル値の差を測定する,時系列データの予測誤差を測定する,モデルのパラメータ数を計算する,A
4. ディープラーニングの概要,4.4 最適化手法,106,勾配降下法の基本的な考え方として最も適切なものはどれか？,誤差関数の勾配方向に沿ってパラメータを更新する,ランダムにパラメータを変化させて最適解を探索する,解析的に誤差関数の最小値を計算する,遺伝的アルゴリズムを用いてパラメータを最適化する,A
4. ディープラーニングの概要,4.4 最適化手法,107,確率的勾配降下法（SGD）の特徴として最も適切なものはどれか？,すべての訓練データを用いて一度にパラメータを更新する,訓練データからランダムに選んだ小さなバッチを用いてパラメータを更新する,解析的に最適なパラメータを計算する,勾配を用いずにパラメータを更新する,B
4. ディープラーニングの概要,4.4 最適化手法,108,ミニバッチ勾配降下法の利点として最も適切でないものはどれか？,計算効率が良い,ノイズの影響を軽減できる,局所解から抜け出しやすい,常に大域的最適解を保証する,D
4. ディープラーニングの概要,4.4 最適化手法,109,Adamオプティマイザの特徴として最も適切なものはどれか？,一次と二次のモーメントを用いて適応的に学習率を調整する,単純な勾配降下法の一種である,二次の微分情報を用いて最適化を行う,遺伝的アルゴリズムを用いて最適化を行う,A
4. ディープラーニングの概要,4.4 最適化手法,110,学習率スケジューリングの目的として最も適切なものはどれか？,モデルの複雑さを段階的に増加させる,学習の進行に応じて学習率を調整する,バッチサイズを動的に変更する,活性化関数を切り替える,B
4. ディープラーニングの概要,4.5 学習率最適化,111,学習率が大きすぎる場合に生じる問題として最も適切なものはどれか？,学習が非常に遅くなる,局所解に捕捉されやすくなる,収束しない、または発散する可能性がある,過学習が起こりやすくなる,C
4. ディープラーニングの概要,4.5 学習率最適化,112,学習率が小さすぎる場合に生じる問題として最も適切なものはどれか？,学習が非常に遅くなる,発散する可能性がある,メモリ使用量が増加する,過学習が起こりやすくなる,A
4. ディープラーニングの概要,4.5 学習率最適化,113,AdaGradの特徴として最も適切なものはどれか？,パラメータごとに異なる学習率を適用する,モーメンタムを用いて最適化を行う,二次の微分情報を用いて最適化を行う,遺伝的アルゴリズムを用いて最適化を行う,A
4. ディープラーニングの概要,4.5 学習率最適化,114,RMSpropの特徴として最も適切なものはどれか？,過去のすべての勾配を等しく考慮する,最近の勾配を指数移動平均で重み付けする,二次の微分情報を用いて最適化を行う,勾配を用いずにパラメータを更新する,B
4. ディープラーニングの概要,4.5 学習率最適化,115,サイクリック学習率の特徴として最も適切なものはどれか？,学習率を一定に保つ,学習率を単調に減少させる,学習率を周期的に変動させる,学習率をランダムに変化させる,C
4. ディープラーニングの概要,4.6 正則化,116,正則化の主な目的として最も適切なものはどれか？,モデルの学習速度を向上させる,モデルの過学習を防ぐ,モデルのパラメータ数を増やす,モデルの解釈可能性を向上させる,B
